Entry	Protein names	Gene names	Organism	Entry name
Q8BYH7	TBC1 domain family member 17	Tbc1d17	Mus musculus (Mouse)	TBC17_MOUSE
Q9QZ47	Troponin T, fast skeletal muscle (TnTf) (Fast skeletal muscle troponin T) (fTnT)	Tnnt3	Mus musculus (Mouse)	TNNT3_MOUSE
Q7TQA8	Taste receptor type 2 member 136 (T2R136) (Taste receptor type 2 member 36) (T2R36) (mT2r52)	Tas2r136 T2r52 Tas2r36	Mus musculus (Mouse)	TR136_MOUSE
Q9WTR1	Transient receptor potential cation channel subfamily V member 2 (TrpV2) (Growth factor-regulated calcium channel) (GRC) (Osm-9-like TRP channel 2) (OTRPC2)	Trpv2 Grc	Mus musculus (Mouse)	TRPV2_MOUSE
Q8K3A2	tRNA 2'-phosphotransferase 1 (mTPT1) (EC 2.7.1.160)	Trpt1 Tpt1h	Mus musculus (Mouse)	TRPT1_MOUSE
O54887	Testis-specific serine kinase substrate (Testis-specific kinase substrate) (STK22 substrate 1)	Tsks Stk22s1	Mus musculus (Mouse)	TSKS_MOUSE
Q9D3D0	Alpha-tocopherol transfer protein-like	Ttpal	Mus musculus (Mouse)	TTPAL_MOUSE
O54863	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (Serine/threonine-protein kinase 22B)	Tssk2 Stk22b	Mus musculus (Mouse)	TSSK2_MOUSE
P70675	Testis-specific protein TSX	Tsx	Mus musculus (Mouse)	TSX_MOUSE
P38641	Unknown protein from 2D-PAGE of fibroblasts (P36) (Fragment)		Mus musculus (Mouse)	UF03_MOUSE
Q9D7W4	Tetraspanin-17 (Tspan-17) (F-box only protein 23) (Tetraspan protein SB134) (Transmembrane 4 superfamily member 17)	Tspan17 Fbxo23 Tm4sf17	Mus musculus (Mouse)	TSN17_MOUSE
P99031	Unknown protein from spot 2D-0014LD of 2D-PAGE of liver tissue (Fragment)		Mus musculus (Mouse)	ULAK_MOUSE
Q62348	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO) (Testis/brain RNA-binding protein) (TB-RBP)	Tsn	Mus musculus (Mouse)	TSN_MOUSE
Q9CZP0	Ufm1-specific protease 1 (UfSP1) (EC 3.4.22.-)	Ufsp1 D5Ertd655e	Mus musculus (Mouse)	UFSP1_MOUSE
Q8BLN6	Protein unc-80 homolog (mUNC-80)	Unc80 Kiaa1843	Mus musculus (Mouse)	UNC80_MOUSE
Q64435	UDP-glucuronosyltransferase 1-6 (UDPGT 1-6) (UGT1*6) (UGT1-06) (UGT1.6) (EC 2.4.1.17) (Phenol UDP-glucuronosyltransferase) (UDP-glucuronosyltransferase 1A6) (UGT1A6) (UGP1A1) (UGT1A7)	Ugt1a6 Ugt1 Ugt1a6a Ugt1a7	Mus musculus (Mouse)	UD16_MOUSE
Q9Z2C6	Uroplakin-1b (UP1b) (Uroplakin Ib) (UPIb)	Upk1b	Mus musculus (Mouse)	UPK1B_MOUSE
Q7TSS2	Ubiquitin-conjugating enzyme E2 Q1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Q1) (Galactosyl transferase-associated protein) (GTAP) (Ubiquitin carrier protein Q1) (Ubiquitin-protein ligase Q1)	Ube2q1 Ube2q	Mus musculus (Mouse)	UB2Q1_MOUSE
Q3UN04	Ubiquitin carboxyl-terminal hydrolase 30 (EC 3.4.19.12) (Deubiquitinating enzyme 30) (Ubiquitin thioesterase 30) (Ubiquitin-specific-processing protease 30) (Ub-specific protease 30)	Usp30	Mus musculus (Mouse)	UBP30_MOUSE
Q61068	Ubiquitin carboxyl-terminal hydrolase 17-like protein A (USP17-A) (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin carboxyl-terminal hydrolase DUB-1) (Ubiquitin thioesterase DUB-1) (Ubiquitin-specific-processing protease DUB-1)	Usp17la Dub-1 Dub1	Mus musculus (Mouse)	U17PA_MOUSE
A0A1L1SUL6	Thioredoxin domain-containing protein 6 (Thioredoxin-like protein 2) (Txl-2)	Nme9 Txl2 Txndc6	Mus musculus (Mouse)	TXND6_MOUSE
Q9Z0P5	Twinfilin-2 (A6-related protein) (mA6RP) (Twinfilin-1-like protein)	Twf2 Ptk9l	Mus musculus (Mouse)	TWF2_MOUSE
Q6P9L4	Ubiquitin carboxyl-terminal hydrolase 49 (EC 3.4.19.12) (Deubiquitinating enzyme 49) (Ubiquitin thioesterase 49) (Ubiquitin-specific-processing protease 49)	Usp49	Mus musculus (Mouse)	UBP49_MOUSE
Q922Y1	UBX domain-containing protein 1 (Protein 2B28) (SAPK substrate protein 1) (UBA/UBX 33.3 kDa protein) (mY33K)	Ubxn1 D19Ertd721e Saks1	Mus musculus (Mouse)	UBXN1_MOUSE
Q8VCG3	WD repeat-containing protein 74	Wdr74	Mus musculus (Mouse)	WDR74_MOUSE
P32648	VIP peptides [Cleaved into: Intestinal peptide PHI-42; Intestinal peptide PHI-27 (Peptide histidine isoleucinamide 27); Vasoactive intestinal peptide (VIP) (Vasoactive intestinal polypeptide)]	Vip	Mus musculus (Mouse)	VIP_MOUSE
Q9ERK4	Exportin-2 (Exp2) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	Cse1l Xpo2	Mus musculus (Mouse)	XPO2_MOUSE
O88878	AN1-type zinc finger protein 5 (Zinc finger A20 domain-containing protein 2) (Zinc finger protein 216)	Zfand5 Za20d2 Zfp216 Znf216	Mus musculus (Mouse)	ZFAN5_MOUSE
P10755	Zinc finger protein 14 (Zfp-14) (Zinc finger protein Krox-9)	Zfp14 Kiaa1559 Krox-9 Zfp-14	Mus musculus (Mouse)	ZFP14_MOUSE
A2AKY4	Zinc finger protein 804A	Znf804a Zfp804a	Mus musculus (Mouse)	Z804A_MOUSE
O70480	Vesicle-associated membrane protein 4 (VAMP-4)	Vamp4	Mus musculus (Mouse)	VAMP4_MOUSE
Q9WTT4	V-type proton ATPase subunit G 2 (V-ATPase subunit G 2) (V-ATPase 13 kDa subunit 2) (Vacuolar proton pump subunit G 2)	Atp6v1g2 Atp6g2 Ng38	Mus musculus (Mouse)	VATG2_MOUSE
P22727	Protein Wnt-6	Wnt6 Wnt-6	Mus musculus (Mouse)	WNT6_MOUSE
Q00519	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	Xdh	Mus musculus (Mouse)	XDH_MOUSE
Q505H4	von Willebrand factor C domain-containing protein 2-like (Brorin-like)	Vwc2l	Mus musculus (Mouse)	VWC2L_MOUSE
Q5GH67	XK-related protein 4 [Cleaved into: XK-related protein 4, processed form]	Xkr4 Xrg4	Mus musculus (Mouse)	XKR4_MOUSE
Q3TNA1	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	Xylb	Mus musculus (Mouse)	XYLB_MOUSE
Q8C0T0	XK-related protein 8 (mXkr8) [Cleaved into: XK-related protein 8, processed form]	Xkr8	Mus musculus (Mouse)	XKR8_MOUSE
D3YX43	V-set and immunoglobulin domain-containing protein 10	Vsig10	Mus musculus (Mouse)	VSI10_MOUSE
Q9ERR8	Zinc finger protein 319	Znf319 Zfp319	Mus musculus (Mouse)	ZN319_MOUSE
O35075	Vacuolar protein sorting-associated protein 26C (Down syndrome critical region protein 3 homolog) (Down syndrome critical region protein A homolog)	Vps26c Dcra Dscr3 Dscra	Mus musculus (Mouse)	VP26C_MOUSE
Q64267	DNA repair protein complementing XP-A cells homolog (Xeroderma pigmentosum group A-complementing protein homolog)	Xpa Xpac	Mus musculus (Mouse)	XPA_MOUSE
Q80ZJ6	Protein zer-1 homolog (Zyg-11 homolog B-like protein)	Zer1 Zyg Zyg11bl	Mus musculus (Mouse)	ZER1_MOUSE
Q9EPK7	Exportin-7 (Exp7) (Ran-binding protein 16)	Xpo7 Kiaa0745 Ranbp16	Mus musculus (Mouse)	XPO7_MOUSE
Q924Z6	Exportin-6 (Exp6) (Ran-binding protein 20)	Xpo6 Ranbp20	Mus musculus (Mouse)	XPO6_MOUSE
Q9JJR2	X-linked lymphocyte-regulated protein 5C	Xlr5c Xlr5	Mus musculus (Mouse)	XLR5C_MOUSE
Q68FE8	Zinc finger protein 280D (Suppressor of hairy wing homolog 4)	Znf280d Suhw4 Zfp280d	Mus musculus (Mouse)	Z280D_MOUSE
Q9QXT9	Zinc finger protein 354B (Kidney, ischemia, and developmentally-regulated protein 2)	Znf354b Kid2 Zfp354b	Mus musculus (Mouse)	Z354B_MOUSE
Q14AK4	Palmitoyltransferase ZDHHC11 (EC 2.3.1.225) (DHHC-containing protein 10) (DHHC10(z11)) (Zinc finger DHHC domain-containing protein 11) (DHHC-11)	Zdhhc11	Mus musculus (Mouse)	ZDH11_MOUSE
Q9CRT8	Exportin-T (Exportin(tRNA)) (tRNA exportin)	Xpot	Mus musculus (Mouse)	XPOT_MOUSE
Q91X58	AN1-type zinc finger protein 2B (Arsenite-inducible RNA-associated protein-like protein) (AIRAP-like protein)	Zfand2b Airapl	Mus musculus (Mouse)	ZFN2B_MOUSE
Q02525	Zinc finger protein 39 (Zfp-39) (CtFIN33)	Zfp39 Zfp-39	Mus musculus (Mouse)	ZFP39_MOUSE
Q5SS00	DBF4-type zinc finger-containing protein 2 homolog	Zdbf2	Mus musculus (Mouse)	ZDBF2_MOUSE
Q8BGS3	Zinc finger protein with KRAB and SCAN domains 1	Zkscan1	Mus musculus (Mouse)	ZKSC1_MOUSE
E9QAG8	Zinc finger protein 431 (Zinc finger protein 932)	Znf431 Zfp431 Zfp932	Mus musculus (Mouse)	ZN431_MOUSE
Q9D6L8	Peptidyl-prolyl cis-trans isomerase-like 3 (PPIase) (EC 5.2.1.8) (CYP10L) (Cyclophilin-like protein PPIL3) (Rotamase PPIL3)	Ppil3 Cyp10l	Mus musculus (Mouse)	PPIL3_MOUSE
Q3UEB3	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor)	Puf60	Mus musculus (Mouse)	PUF60_MOUSE
E9Q0N2	Receptor-type tyrosine-protein phosphatase H (R-PTP-H) (EC 3.1.3.48) (Stomach cancer-associated protein tyrosine phosphatase 1) (SAP-1)	Ptprh SAP-1	Mus musculus (Mouse)	PTPRH_MOUSE
Q62158	Zinc finger protein RFP (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27)	Trim27 Rfp	Mus musculus (Mouse)	TRI27_MOUSE
Q5UBV8	Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor)	Tnfsf15 Tl1 Vegi	Mus musculus (Mouse)	TNF15_MOUSE
Q1XH17	Tripartite motif-containing protein 72 (Mitsugumin-53) (Mg53)	Trim72 Mg53	Mus musculus (Mouse)	TRI72_MOUSE
Q3UWZ0	Tripartite motif-containing protein 75	Trim75 Gm794	Mus musculus (Mouse)	TRI75_MOUSE
Q7M710	Taste receptor type 2 member 125 (T2R125) (mT2R59)	Tas2r125 T2r59	Mus musculus (Mouse)	TR125_MOUSE
Q3UHC0	Trinucleotide repeat-containing gene 6C protein	Tnrc6c Kiaa1582	Mus musculus (Mouse)	TNR6C_MOUSE
Q924W6	Tripartite motif-containing protein 66 (Transcriptional intermediary factor 1 delta)	Trim66 Tif1d	Mus musculus (Mouse)	TRI66_MOUSE
Q8VDR5	Transmembrane protein 267	Tmem267 Gm7120	Mus musculus (Mouse)	TM267_MOUSE
Q4FJU9	Transmembrane protein 40	Tmem40	Mus musculus (Mouse)	TMM40_MOUSE
Q9CR22	Transmembrane protein 42	Tmem42	Mus musculus (Mouse)	TMM42_MOUSE
Q9WU56	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	Pus1 MNCb-0873	Mus musculus (Mouse)	TRUA_MOUSE
Q8BYG0	Tetratricopeptide repeat protein 24 (TPR repeat protein 24)	Ttc24	Mus musculus (Mouse)	TTC24_MOUSE
Q91W67	Ubiquitin-like protein 7	Ubl7	Mus musculus (Mouse)	UBL7_MOUSE
P0C1Z5	Putative UPF0730 protein encoded by LINC00643 homolog		Mus musculus (Mouse)	U730_MOUSE
Q8CA03	Thymic stromal cotransporter protein (Solute carrier family 46 member 2)	Slc46a2 Tscot	Mus musculus (Mouse)	TSCOT_MOUSE
P57080	Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25) (mUSP25)	Usp25	Mus musculus (Mouse)	UBP25_MOUSE
Q99PM9	Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Uridine monophosphokinase 2)	Uck2 Umpk	Mus musculus (Mouse)	UCK2_MOUSE
Q5U5Q9	BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Ubiquitin interaction motif-containing protein 1)	Uimc1 Rap80 Rip110 Rxrip110	Mus musculus (Mouse)	UIMC1_MOUSE
P52623	Uridine-cytidine kinase 1 (UCK 1) (EC 2.7.1.48) (Cytidine monophosphokinase 1) (Uridine monophosphokinase 1)	Uck1 Umpk	Mus musculus (Mouse)	UCK1_MOUSE
Q9D701	Uroplakin-3b-like protein 1	Upk3bl1 Upk3bl	Mus musculus (Mouse)	UPK3L_MOUSE
P25688	Uricase (EC 1.7.3.3) (Urate oxidase)	Uox	Mus musculus (Mouse)	URIC_MOUSE
Q9D883	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit)	U2af1	Mus musculus (Mouse)	U2AF1_MOUSE
Q61048	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	Wbp4 Fbp21 Fnbp21	Mus musculus (Mouse)	WBP4_MOUSE
Q6IR37	Probable palmitoyltransferase ZDHHC24 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 24)	Zdhhc24	Mus musculus (Mouse)	ZDH24_MOUSE
Q7TSI0	Zinc finger protein 12	Znf12 Zfp12	Mus musculus (Mouse)	ZNF12_MOUSE
Q4U4S6	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Myogenic MEF2-activated Xin-related protein) (Myomaxin) (mXinbeta)	Xirp2 Cmya3 Xin2	Mus musculus (Mouse)	XIRP2_MOUSE
Q52KG4	Zinc finger and BTB domain-containing protein 45 (Zinc finger protein 499)	Zbtb45 Gm157 Zfp499	Mus musculus (Mouse)	ZBT45_MOUSE
Q9DB43	Zinc finger protein-like 1	Zfpl1	Mus musculus (Mouse)	ZFPL1_MOUSE
B2RXC5	Zinc finger protein 382 (KRAB/zinc finger suppressor protein 1) (KS1) (Multiple zinc finger and krueppel-associated box protein KS1)	Znf382 Zfp382	Mus musculus (Mouse)	ZN382_MOUSE
Q0P678	Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1)	Zc3h18 Nhn1	Mus musculus (Mouse)	ZCH18_MOUSE
Q91VW9	Zinc finger protein with KRAB and SCAN domains 3 (SCAN-KRAB-zinc finger protein) (Zinc finger protein 306) (Zinc finger protein 307) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	Zkscan3 Skz1 Zfp306 Zfp307 Zfp47	Mus musculus (Mouse)	ZKSC3_MOUSE
Q8BIQ3	Zinc finger protein 2 (Zinc finger protein 661) (Zfp-661)	Znf2 Zfp661	Mus musculus (Mouse)	ZNF2_MOUSE
Q61751	Zinc finger protein 354A (Kidney, ischemia, and developmentally-regulated protein 1) (Renal transcription factor Kid-1) (Transcription factor 17) (TCF-17)	Znf354a Kid1 Tcf17 Zfp354a	Mus musculus (Mouse)	Z354A_MOUSE
P39447	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	Tjp1 Zo1	Mus musculus (Mouse)	ZO1_MOUSE
P30412	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (Rotamase C)	Ppic Cypc	Mus musculus (Mouse)	PPIC_MOUSE
Q64487	Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	PTPRD_MOUSE
P57096	Prostate stem cell antigen	Psca	Mus musculus (Mouse)	PSCA_MOUSE
Q8R2Y8	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29)	Ptrh2 Pth2	Mus musculus (Mouse)	PTH2_MOUSE
Q91Z31	Polypyrimidine tract-binding protein 2 (Brain-enriched polypyrimidine tract-binding protein) (Brain-enriched PTB) (Neural polypyrimidine tract-binding protein) (RRM-type RNA-binding protein brPTB)	Ptbp2 Brptb Nptb	Mus musculus (Mouse)	PTBP2_MOUSE
Q9D0J8	Parathymosin	Ptms	Mus musculus (Mouse)	PTMS_MOUSE
O70300	Persephin (PSP)	Pspn	Mus musculus (Mouse)	PSPN_MOUSE
Q9ET01	Glycogen phosphorylase, liver form (EC 2.4.1.1)	Pygl	Mus musculus (Mouse)	PYGL_MOUSE
Q9CYK2	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (Glutaminyl-tRNA cyclotransferase)	Qpct	Mus musculus (Mouse)	QPCT_MOUSE
Q921W4	Quinone oxidoreductase-like protein 1 (EC 1.-.-.-) (Quinone oxidoreductase homolog 1) (QOH-1) (Zeta-crystallin homolog)	Cryzl1	Mus musculus (Mouse)	QORL1_MOUSE
Q99KG3	RNA-binding protein 10 (RNA-binding motif protein 10)	Rbm10 Kiaa0122	Mus musculus (Mouse)	RBM10_MOUSE
Q6NZN0	RNA-binding protein 26 (Protein expressed in male leptotene and zygotene spermatocytes 393) (MLZ-393) (RNA-binding motif protein 26)	Rbm26	Mus musculus (Mouse)	RBM26_MOUSE
Q3V089	RNA-binding protein 44 (RNA-binding motif protein 44)	Rbm44 Gm817	Mus musculus (Mouse)	RBM44_MOUSE
Q91W59	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1)	Rbms1 Mssp Mssp1	Mus musculus (Mouse)	RBMS1_MOUSE
P32883	GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]	Kras Kras2	Mus musculus (Mouse)	RASK_MOUSE
Q8K0S5	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	Rtn4rl1 Ngrl2	Mus musculus (Mouse)	R4RL1_MOUSE
Q9CYF5	RCC1-like G exchanging factor-like protein (RCC1-like) (Williams-Beuren syndrome chromosomal region 16 protein homolog)	Rcc1l Wbscr16	Mus musculus (Mouse)	RCC1L_MOUSE
Q8VDV3	Guanine nucleotide exchange factor for Rab-3A (Rab-3A-interacting-like protein 1) (Rab3A-interacting-like protein 1) (Rabin3-like 1)	Rab3il1	Mus musculus (Mouse)	R3GEF_MOUSE
P35292	Ras-related protein Rab-17	Rab17	Mus musculus (Mouse)	RAB17_MOUSE
O35698	RNA-binding motif protein, Y chromosome, family 1 member A1 (RNA-binding motif protein 1) (Y chromosome RNA recognition motif 1)	Rbmy1a1 Rbm	Mus musculus (Mouse)	RBY1A_MOUSE
P61027	Ras-related protein Rab-10 (EC 3.6.5.2)	Rab10	Mus musculus (Mouse)	RAB10_MOUSE
Q8BTU7	RCC1 domain-containing protein 1	Rccd1	Mus musculus (Mouse)	RCCD1_MOUSE
Q8QZZ8	Ras-related protein Rab-38	Rab38	Mus musculus (Mouse)	RAB38_MOUSE
P35546	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	Ret	Mus musculus (Mouse)	RET_MOUSE
A2AB59	Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27)	Arhgap27 Camgap1	Mus musculus (Mouse)	RHG27_MOUSE
Q6A0D4	Raftlin (Raft-linking protein)	Rftn1 Kiaa0084	Mus musculus (Mouse)	RFTN1_MOUSE
Q920A5	Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1)	Scpep1 Risc	Mus musculus (Mouse)	RISC_MOUSE
P07742	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)	Rrm1	Mus musculus (Mouse)	RIR1_MOUSE
Q921Q7	Ras and Rab interactor 1 (Ras interaction/interference protein 1)	Rin1	Mus musculus (Mouse)	RIN1_MOUSE
P62751	60S ribosomal protein L23a	Rpl23a	Mus musculus (Mouse)	RL23A_MOUSE
P84099	60S ribosomal protein L19	Rpl19	Mus musculus (Mouse)	RL19_MOUSE
Q8R2Q4	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	Gfm2 Efg2	Mus musculus (Mouse)	RRF2M_MOUSE
Q6ZWN5	40S ribosomal protein S9	Rps9	Mus musculus (Mouse)	RS9_MOUSE
Q9D7D2	Serpin A9	Serpina9	Mus musculus (Mouse)	SPA9_MOUSE
